km,mode,scenario,gate_price_asrec_eurpt,delivered_cost_asrec_eurpt,GM_farm_asrec_eurpt
107,tractor,withC,66.66,44.78,21.88
107,truck,base,23.61,30.58,-6.97
107,truck,withC,66.66,30.58,36.08
108,tractor,base,23.61,45.10,-21.49
108,tractor,withC,66.66,45.10,21.56
108,truck,base,23.61,30.77,-7.16
108,truck,withC,66.66,30.77,35.89
109,tractor,base,23.61,45.43,-21.82
109,tractor,withC,66.66,45.43,21.23
109,truck,base,23.61,30.96,-7.35
109,truck,withC,66.66,30.96,35.70
110,tractor,base,23.61,45.76,-22.15
110,tractor,withC,66.66,45.76,20.90
110,truck,base,23.61,31.16,-7.55
110,truck,withC,66.66,31.16,35.50
111,tractor,base,23.61,46.08,-22.47
111,tractor,withC,66.66,46.08,20.58
111,truck,base,23.61,31.35,-7.74
111,truck,withC,66.66,31.35,35.31
112,tractor,base,23.61,46.41,-22.80
112,tractor,withC,66.66,46.41,20.25
112,truck,base,23.61,31.54,-7.93
112,truck,withC,66.66,31.54,35.12
113,tractor,base,23.61,46.74,-23.13
113,tractor,withC,66.66,46.74,19.92
113,truck,base,23.61,31.74,-8.13
113,truck,withC,66.66,31.74,34.92
114,tractor,base,23.61,47.06,-23.45
114,tractor,withC,66.66,47.06,19.60
114,truck,base,23.61,31.93,-8.32
114,truck,withC,66.66,31.93,34.73
115,tractor,base,23.61,47.39,-23.78
115,tractor,withC,66.66,47.39,19.27
115,truck,base,23.61,32.12,-8.51
115,truck,withC,66.66,32.12,34.54
116,tractor,base,23.61,47.72,-24.11
116,tractor,withC,66.66,47.72,18.94
116,truck,base,23.61,32.32,-8.71
116,truck,withC,66.66,32.32,34.34
117,tractor,base,23.61,48.04,-24.43
117,tractor,withC,66.66,48.04,18.62
117,truck,base,23.61,32.51,-8.90
117,truck,withC,66.66,32.51,34.15
118,tractor,base,23.61,48.37,-24.76
118,tractor,withC,66.66,48.37,18.29
118,truck,base,23.61,32.70,-9.10
118,truck,withC,66.66,32.70,33.95
119,tractor,base,23.61,48.70,-25.09
119,tractor,withC,66.66,48.70,17.96
119,truck,base,23.61,32.90,-9.29
119,truck,withC,66.66,32.90,33.76
120,tractor,base,23.61,49.02,-25.41
120,tractor,withC,66.66,49.02,17.64
120,truck,base,23.61,33.09,-9.48
120,truck,withC,66.66,33.09,33.57
121,tractor,base,23.61,49.35,-25.74
121,tractor,withC,66.66,49.35,17.31
121,truck,base,23.61,33.29,-9.68
121,truck,withC,66.66,33.29,33.37
122,tractor,base,23.61,49.67,-26.06
122,tractor,withC,66.66,49.67,16.99
122,truck,base,23.61,33.48,-9.87
122,truck,withC,66.66,33.48,33.18
123,tractor,base,23.61,50.00,-26.39
123,tractor,withC,66.66,50.00,16.66
123,truck,base,23.61,33.67,-10.06
123,truck,withC,66.66,33.67,32.99
124,tractor,base,23.61,50.33,-26.72
124,tractor,withC,66.66,50.33,16.33
124,truck,base,23.61,33.87,-10.26
124,truck,withC,66.66,33.87,32.79
125,tractor,base,23.61,50.65,-27.04
125,tractor,withC,66.66,50.65,16.01
125,truck,base,23.61,34.06,-10.45
125,truck,withC,66.66,34.06,32.60
126,tractor,base,23.61,50.98,-27.37
126,tractor,withC,66.66,50.98,15.68
126,truck,base,23.61,34.25,-10.64
126,truck,withC,66.66,34.25,32.41
127,tractor,base,23.61,51.31,-27.70
127,tractor,withC,66.66,51.31,15.35
127,truck,base,23.61,34.45,-10.84
127,truck,withC,66.66,34.45,32.21
128,tractor,base,23.61,51.63,-28.02
128,tractor,withC,66.66,51.63,15.03
128,truck,base,23.61,34.64,-11.03
128,truck,withC,66.66,34.64,32.02
129,tractor,base,23.61,51.96,-28.35
129,tractor,withC,66.66,51.96,14.70
129,truck,base,23.61,34.83,-11.22
129,truck,withC,66.66,34.83,31.83
130,tractor,base,23.61,52.29,-28.68
130,tractor,withC,66.66,52.29,14.37
130,truck,base,23.61,35.03,-11.42
130,truck,withC,66.66,35.03,31.63
131,tractor,base,23.61,52.61,-29.00
131,tractor,withC,66.66,52.61,14.05
131,truck,base,23.61,35.22,-11.61
131,truck,withC,66.66,35.22,31.44
132,tractor,base,23.61,52.94,-29.33
132,tractor,withC,66.66,52.94,13.72
132,truck,base,23.61,35.41,-11.80
132,truck,withC,66.66,35.41,31.25
133,tractor,base,23.61,53.27,-29.66
133,tractor,withC,66.66,53.27,13.39
133,truck,base,23.61,35.61,-12.00
133,truck,withC,66.66,35.61,31.05
134,tractor,base,23.61,53.59,-29.98
134,tractor,withC,66.66,53.59,13.07
134,truck,base,23.61,35.80,-12.19
134,truck,withC,66.66,35.80,30.86
135,tractor,base,23.61,53.92,-30.31
135,tractor,withC,66.66,53.92,12.74
135,truck,base,23.61,35.99,-12.38
135,truck,withC,66.66,35.99,30.67
136,tractor,base,23.61,54.25,-30.64
136,tractor,withC,66.66,54.25,12.41
136,truck,base,23.61,36.19,-12.58
136,truck,withC,66.66,36.19,30.47
137,tractor,base,23.61,54.57,-30.96
137,tractor,withC,66.66,54.57,12.09
137,truck,base,23.61,36.38,-12.77
137,truck,withC,66.66,36.38,30.28
138,tractor,base,23.61,54.90,-31.29
138,tractor,withC,66.66,54.90,11.76
138,truck,base,23.61,36.57,-12.96
138,truck,withC,66.66,36.57,30.09
139,tractor,base,23.61,55.23,-31.62
139,tractor,withC,66.66,55.23,11.43
139,truck,base,23.61,36.77,-13.16
139,truck,withC,66.66,36.77,29.89
140,tractor,base,23.61,55.55,-31.94
140,tractor,withC,66.66,55.55,11.11
140,truck,base,23.61,36.96,-13.35
140,truck,withC,66.66,36.96,29.70
141,tractor,base,23.61,55.88,-32.27
141,tractor,withC,66.66,55.88,10.78
141,truck,base,23.61,37.15,-13.54
141,truck,withC,66.66,37.15,29.51
142,tractor,base,23.61,56.21,-32.60
142,tractor,withC,66.66,56.21,10.45
142,truck,base,23.61,37.35,-13.74
142,truck,withC,66.66,37.35,29.31
143,tractor,base,23.61,56.53,-32.92
143,tractor,withC,66.66,56.53,10.13
143,truck,base,23.61,37.54,-13.93
143,truck,withC,66.66,37.54,29.12
144,tractor,base,23.61,56.86,-33.25
144,tractor,withC,66.66,56.86,9.80
144,truck,base,23.61,37.73,-14.12
144,truck,withC,66.66,37.73,28.93
145,tractor,base,23.61,57.19,-33.58
145,tractor,withC,66.66,57.19,9.47
145,truck,base,23.61,37.93,-14.32
145,truck,withC,66.66,37.93,28.73
146,tractor,base,23.61,57.51,-33.90
146,tractor,withC,66.66,57.51,9.15
146,truck,base,23.61,38.12,-14.51
146,truck,withC,66.66,38.12,28.54
147,tractor,base,23.61,57.84,-34.23
147,tractor,withC,66.66,57.84,8.82
147,truck,base,23.61,38.31,-14.70
147,truck,withC,66.66,38.31,28.35
148,tractor,base,23.61,58.17,-34.56
148,tractor,withC,66.66,58.17,8.49
148,truck,base,23.61,38.51,-14.90
148,truck,withC,66.66,38.51,28.15
149,tractor,base,23.61,58.49,-34.88
149,tractor,withC,66.66,58.49,8.17
149,truck,base,23.61,38.70,-15.09
149,truck,withC,66.66,38.70,27.96
150,tractor,base,23.61,58.82,-35.21
150,tractor,withC,66.66,58.82,7.84
150,truck,base,23.61,38.89,-15.28
150,truck,withC,66.66,38.89,27.77
151,tractor,base,23.61,59.15,-35.54
151,tractor,withC,66.66,59.15,7.51
151,truck,base,23.61,39.09,-15.48
151,truck,withC,66.66,39.09,27.57
152,tractor,base,23.61,59.47,-35.86
152,tractor,withC,66.66,59.47,7.19
152,truck,base,23.61,39.28,-15.67
152,truck,withC,66.66,39.28,27.38
153,tractor,base,23.61,59.80,-36.19
153,tractor,withC,66.66,59.80,6.86
153,truck,base,23.61,39.47,-15.86
153,truck,withC,66.66,39.47,27.19
154,tractor,base,23.61,60.13,-36.52
154,tractor,withC,66.66,60.13,6.53
154,truck,base,23.61,39.67,-16.06
154,truck,withC,66.66,39.67,26.99
155,tractor,base,23.61,60.45,-36.84
155,tractor,withC,66.66,60.45,6.21
155,truck,base,23.61,39.86,-16.25
155,truck,withC,66.66,39.86,26.80
156,tractor,base,23.61,60.78,-37.17
156,tractor,withC,66.66,60.78,5.88
156,truck,base,23.61,40.05,-16.44
156,truck,withC,66.66,40.05,26.61
157,tractor,base,23.61,61.11,-37.50
157,tractor,withC,66.66,61.11,5.55
157,truck,base,23.61,40.25,-16.64
157,truck,withC,66.66,40.25,26.41
158,tractor,base,23.61,61.43,-37.82
158,tractor,withC,66.66,61.43,5.23
158,truck,base,23.61,40.44,-16.83
158,truck,withC,66.66,40.44,26.22
159,tractor,base,23.61,61.76,-38.15
159,tractor,withC,66.66,61.76,4.90
159,truck,base,23.61,40.63,-17.02
159,truck,withC,66.66,40.63,26.03
160,tractor,base,23.61,62.09,-38.48
160,tractor,withC,66.66,62.09,4.57
160,truck,base,23.61,40.83,-17.22
160,truck,withC,66.66,40.83,25.83
161,tractor,base,23.61,62.41,-38.80
161,tractor,withC,66.66,62.41,4.25
161,truck,base,23.61,41.02,-17.41
161,truck,withC,66.66,41.02,25.64
162,tractor,base,23.61,62.74,-39.13
162,tractor,withC,66.66,62.74,3.92
162,truck,base,23.61,41.21,-17.60
162,truck,withC,66.66,41.21,25.45
163,tractor,base,23.61,63.07,-39.46
163,tractor,withC,66.66,63.07,3.59
163,truck,base,23.61,41.41,-17.80
163,truck,withC,66.66,41.41,25.25
164,tractor,base,23.61,63.39,-39.78
164,tractor,withC,66.66,63.39,3.27
164,truck,base,23.61,41.60,-17.99
164,truck,withC,66.66,41.60,25.06
165,tractor,base,23.61,63.72,-40.11
165,tractor,withC,66.66,63.72,2.94
165,truck,base,23.61,41.80,-18.19
165,truck,withC,66.66,41.80,24.86
166,tractor,base,23.61,64.05,-40.44
166,tractor,withC,66.66,64.05,2.61
166,truck,base,23.61,41.99,-18.38
166,truck,withC,66.66,41.99,24.67
167,tractor,base,23.61,64.37,-40.76
167,tractor,withC,66.66,64.37,2.29
167,truck,base,23.61,42.18,-18.57
167,truck,withC,66.66,42.18,24.48
168,tractor,base,23.61,64.70,-41.09
168,tractor,withC,66.66,64.70,1.96
168,truck,base,23.61,42.38,-18.77
168,truck,withC,66.66,42.38,24.28
169,tractor,base,23.61,65.02,-41.41
169,tractor,withC,66.66,65.02,1.64
169,truck,base,23.61,42.57,-18.96
169,truck,withC,66.66,42.57,24.09
