P_char_EURt,GM_per_tDM_EURtDM
5870.00,1276.87
5880.00,1279.37
5890.00,1281.87
5900.00,1284.37
5910.00,1286.87
5920.00,1289.37
5930.00,1291.87
5940.00,1294.37
5950.00,1296.87
5960.00,1299.37
5970.00,1301.87
5980.00,1304.37
5990.00,1306.87
6000.00,1309.37
6010.00,1311.87
6020.00,1314.37
6030.00,1316.87
6040.00,1319.37
6050.00,1321.87
6060.00,1324.37
6070.00,1326.87
6080.00,1329.37
6090.00,1331.87
6100.00,1334.37
6110.00,1336.87
6120.00,1339.37
6130.00,1341.87
6140.00,1344.37
6150.00,1346.87
6160.00,1349.37
6170.00,1351.87
6180.00,1354.37
6190.00,1356.87
6200.00,1359.37
6210.00,1361.87
6220.00,1364.37
6230.00,1366.87
6240.00,1369.37
6250.00,1371.87
6260.00,1374.37
6270.00,1376.87
6280.00,1379.37
6290.00,1381.87
6300.00,1384.37
